epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,269.902,0.55778,0.33572,0.78695,0.99753,1,0.995,0.91548,0.43533,0.4133,0.76547,0.000416,0.000416,0.000416
82,273.219,0.54794,0.33194,0.78626,0.99806,1,0.995,0.91097,0.502,0.41557,0.76888,0.0003962,0.0003962,0.0003962
83,276.53,0.54637,0.33068,0.79698,0.99819,1,0.995,0.90864,0.4924,0.40205,0.76303,0.0003764,0.0003764,0.0003764
84,279.838,0.5537,0.33309,0.78406,0.99822,1,0.995,0.9113,0.51779,0.40339,0.76034,0.0003566,0.0003566,0.0003566
85,283.146,0.54631,0.33126,0.78833,0.99819,1,0.995,0.91074,0.42202,0.39792,0.76066,0.0003368,0.0003368,0.0003368
86,286.445,0.53605,0.32384,0.78667,0.99829,1,0.995,0.91572,0.38775,0.37664,0.75311,0.000317,0.000317,0.000317
87,289.772,0.54426,0.31948,0.79257,0.9981,1,0.995,0.9087,0.42839,0.37857,0.7589,0.0002972,0.0002972,0.0002972
88,293.06,0.52071,0.31787,0.78632,0.99817,1,0.995,0.93324,0.41957,0.35045,0.74648,0.0002774,0.0002774,0.0002774
89,296.382,0.523,0.3136,0.79853,0.99826,1,0.995,0.90859,0.43571,0.37363,0.75426,0.0002576,0.0002576,0.0002576
90,299.669,0.50685,0.31166,0.78852,0.99827,1,0.995,0.9038,0.46338,0.33663,0.75453,0.0002378,0.0002378,0.0002378
91,303.515,0.46052,0.2952,0.78554,0.99811,1,0.995,0.9132,0.39699,0.29787,0.74913,0.000218,0.000218,0.000218
92,306.806,0.44302,0.28443,0.77801,0.99792,1,0.995,0.92415,0.41874,0.32203,0.75185,0.0001982,0.0001982,0.0001982
93,310.085,0.44875,0.29171,0.78836,0.99815,1,0.995,0.91385,0.42645,0.34483,0.74779,0.0001784,0.0001784,0.0001784
94,313.346,0.44642,0.29337,0.77963,0.99772,1,0.995,0.90148,0.48902,0.35737,0.74738,0.0001586,0.0001586,0.0001586
95,316.606,0.43858,0.2864,0.78274,0.99793,1,0.995,0.90406,0.5099,0.35545,0.75455,0.0001388,0.0001388,0.0001388
96,319.866,0.42715,0.28342,0.77489,0.99806,1,0.995,0.91728,0.45009,0.35885,0.74383,0.000119,0.000119,0.000119
97,323.164,0.42729,0.27741,0.77872,0.99821,1,0.995,0.90772,0.36063,0.32292,0.74554,9.92e-05,9.92e-05,9.92e-05
98,326.43,0.43114,0.27888,0.78431,0.99825,1,0.995,0.92164,0.40876,0.30719,0.74456,7.94e-05,7.94e-05,7.94e-05
99,329.718,0.41669,0.27423,0.77721,0.99817,1,0.995,0.914,0.36188,0.30819,0.74027,5.96e-05,5.96e-05,5.96e-05
100,333.009,0.42243,0.27221,0.77993,0.99819,1,0.995,0.90374,0.41495,0.32122,0.74032,3.98e-05,3.98e-05,3.98e-05
